PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
LONG,68559110102012073014400126000230,2,EPC-R3,Consider installing solar water heating.,LOW
SHORT,68559110102012073014400126000230,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
LONG,68559110102012073014400126000230,3,EPC-R4,Consider installing PV.,LOW
SHORT,68667820802012073110405797400930,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,68667820802012073110405797400930,1,EPC-H2,Add time control to heating system.,LOW
LONG,68667820802012073110405797400930,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,68667820802012073110405797400930,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,68667820802012073110405797400930,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,68667820802012073110405797400930,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,68667820802012073110405797400930,5,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,68756610902012080209320369500080,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,68756610902012080209320369500080,1,EPC-H2,Add time control to heating system.,MEDIUM
LONG,68756610902012080209320369500080,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,68756610902012080209320369500080,2,EPC-W1,Install more efficient water heater.,LOW
MEDIUM,68756610902012080209320369500080,2,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,68756610902012080209320369500080,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,68756610902012080209320369500080,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,68756610902012080209320369500080,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,68756610902012080209320369500080,3,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,68756610902012080209320369500080,4,EPC-R4,Consider installing PV.,LOW
SHORT,68756610902012080209320369500080,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,68756610902012080209320369500080,5,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,68756610902012080209320369500080,6,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,68756610902012080209320369500080,7,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,68756610902012080209320369500080,8,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,68756610902012080209320369500080,9,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
SHORT,68756610902012080209320369500080,10,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,68756610902012080209320369500080,11,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,75351794252013012311535201009639,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,75351794252013012311535201009639,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,75351794252013012311535201009639,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,75351794252013012311535201009639,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,75351794252013012311535201009639,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,75351794252013012311535201009639,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,75351794252013012311535201009639,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,75351794252013012311535201009639,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,75351794252013012311535201009639,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
MEDIUM,75580010602013012909144889200990,1,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
SHORT,75580010602013012909144889200990,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,75580010602013012909144889200990,1,EPC-W1,Install more efficient water heater.,MEDIUM
MEDIUM,75580010602013012909144889200990,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,75580010602013012909144889200990,2,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
MEDIUM,75580010602013012909144889200990,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,75580010602013012909144889200990,3,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,75580010602013012909144889200990,4,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,75580010602013012909144889200990,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,75580010602013012909144889200990,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
MEDIUM,75580010602013012909144889200990,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
MEDIUM,75580010602013012909144889200990,6,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,76083760742013021115493789820920,1,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,76083760742013021115493789820920,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,76083760742013021115493789820920,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
MEDIUM,76083760742013021115493789820920,2,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,76083760742013021115493789820920,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,76083760742013021115493789820920,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,76083760742013021115493789820920,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
LONG,76083760742013021115493789820920,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,76083760742013021115493789820920,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,76083760742013021115493789820920,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,76083760742013021115493789820920,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,76083760742013021115493789820920,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,76287798912013021414375804009850,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,76287798912013021414375804009850,1,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,76287798912013021414375804009850,1,EPC-H2,Add time control to heating system.,MEDIUM
SHORT,76287798912013021414375804009850,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,76287798912013021414375804009850,2,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,76287798912013021414375804009850,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,76287798912013021414375804009850,3,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
LONG,76287798912013021414375804009850,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,76287798912013021414375804009850,4,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,76287798912013021414375804009850,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,76287798912013021414375804009850,5,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,76287798912013021414375804009850,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,76287798912013021414375804009850,6,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,73714854952012120307443208909474,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
MEDIUM,73714854952012120307443208909474,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,73714854952012120307443208909474,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,73714854952012120307443208909474,2,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,73714854952012120307443208909474,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,73714854952012120307443208909474,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,73714854952012120307443208909474,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,73714854952012120307443208909474,5,EPC-R3,Consider installing solar water heating.,LOW
LONG,73724722212012113015010706919693,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,73724722212012113015010706919693,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,73724722212012113015010706919693,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,73724722212012113015010706919693,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,73724722212012113015010706919693,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,73724722212012113015010706919693,3,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,73724722212012113015010706919693,4,EPC-R3,Consider installing solar water heating.,LOW
LONG,73724722212012113015010706919693,5,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,73724962332012113015343321900293,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,73724962332012113015343321900293,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,73724962332012113015343321900293,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,73724962332012113015343321900293,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,73724962332012113015343321900293,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,73724962332012113015343321900293,3,EPC-R4,Consider installing PV.,LOW
LONG,73728459912012120306262906909619,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,73728459912012120306262906909619,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,73728459912012120306262906909619,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,73728459912012120306262906909619,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,73728459912012120306262906909619,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,73728459912012120306262906909619,3,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,73728459912012120306262906909619,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,73728459912012120306262906909619,5,EPC-R3,Consider installing solar water heating.,LOW
LONG,73774610252012120306282703009484,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,73774610252012120306282703009484,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,73774610252012120306282703009484,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,73774610252012120306282703009484,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,73774610252012120306282703009484,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,73774610252012120306282703009484,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,74207672032012121308375093900995,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
LONG,74207672032012121308375093900995,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,74207672032012121308375093900995,1,EPC-W3,Improve insulation on HWS storage.,LOW
LONG,74207672032012121308375093900995,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,74207672032012121308375093900995,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,74207672032012121308375093900995,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
MEDIUM,74207672032012121308375093900995,3,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,74207672032012121308375093900995,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,74207672032012121308375093900995,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,74207672032012121308375093900995,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,74207672032012121308375093900995,4,EPC-R4,Consider installing PV.,LOW
SHORT,74207672032012121308375093900995,4,EPC-H2,Add time control to heating system.,MEDIUM
MEDIUM,74207672032012121308375093900995,5,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
SHORT,74207672032012121308375093900995,5,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,74207672032012121308375093900995,6,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
MEDIUM,74207672032012121308375093900995,6,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,74207672032012121308375093900995,7,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,74207672032012121308375093900995,7,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,74207672032012121308375093900995,8,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,76608170062013022215090537920540,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,76608170062013022215090537920540,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,76608170062013022215090537920540,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,76608170062013022215090537920540,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
LONG,76608170062013022215090537920540,3,EPC-R3,Consider installing solar water heating.,LOW
SHORT,76608170062013022215090537920540,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,76608170062013022215090537920540,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
LONG,76608170062013022215090537920540,5,EPC-H8,Add weather compensation controls to heating system.,LOW
MEDIUM,7724280062013022116523818920180,1,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,7724280062013022116523818920180,1,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,7724280062013022116523818920180,1,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,7724280062013022116523818920180,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,7724280062013022116523818920180,2,EPC-H5,Add local time control to heating system.,LOW
LONG,7724280062013022116523818920180,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,7724280062013022116523818920180,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,7724280062013022116523818920180,5,EPC-R5,Consider installing an air source heat pump.,MEDIUM
LONG,7728070922009050112183104920231,1,EPC-H7,Add optimum start/stop to the heating system.,HIGH
SHORT,7728070922009050112183104920231,1,EPC-C1,The default chilller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
LONG,7728070922009050112183104920231,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,HIGH
SHORT,7728070922009050112183104920231,2,EPC-V1,Some spaces have a significant risk of overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.,MEDIUM
LONG,7728070922009050112183104920231,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,7728070922009050112183104920231,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,7728070922009050112183104920231,5,EPC-H8,Add weather compensation controls to heating system.,HIGH
SHORT,77362457252013031209193705009952,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,77362457252013031209193705009952,1,EPC-H5,Add local time control to heating system.,LOW
MEDIUM,77362457252013031209193705009952,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,77362457252013031209193705009952,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,77362457252013031209193705009952,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,77362457252013031209193705009952,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,77362457252013031209193705009952,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,77362457252013031209193705009952,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,77362457252013031209193705009952,3,EPC-H2,Add time control to heating system.,LOW
MEDIUM,77362457252013031209193705009952,4,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
SHORT,77362457252013031209193705009952,4,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,77362457252013031209193705009952,4,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,77362457252013031209193705009952,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,66014530102012061023013240800770,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,66014530102012061023013240800770,1,EPC-R1,Consider installing a ground source heat pump.,HIGH
MEDIUM,66014530102012061023013240800770,1,EPC-H8,Add weather compensation controls to heating system.,LOW
OTHER,66014530102012061023013240800770,1,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,66014530102012061023013240800770,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,66014530102012061023013240800770,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
OTHER,66014530102012061023013240800770,2,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,66014530102012061023013240800770,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,66014530102012061023013240800770,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
LONG,66014530102012061023013240800770,4,EPC-R4,Consider installing PV.,LOW
MEDIUM,66014530102012061023013240800770,4,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,66258370022012061416370936060670,1,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
SHORT,66258370022012061416370936060670,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
LONG,66258370022012061416370936060670,2,EPC-R3,Consider installing solar water heating.,LOW
SHORT,66258370022012061416370936060670,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
LONG,66258370022012061416370936060670,3,EPC-W1,Install more efficient water heater.,LOW
SHORT,66258370022012061416370936060670,3,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,HIGH
LONG,66258370022012061416370936060670,4,EPC-R4,Consider installing PV.,LOW
SHORT,66258370022012061416370936060670,4,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
SHORT,66258370022012061416370936060670,5,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,HIGH
LONG,66258370022012061416370936060670,5,EPC-W2,Consider replacing HWS with point of use system.,LOW
SHORT,66258370022012061416370936060670,6,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
SHORT,66258370022012061416370936060670,7,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
SHORT,66258370022012061416370936060670,8,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,66322250062012061409065843960780,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,HIGH
MEDIUM,66322250062012061409065843960780,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,HIGH
LONG,66322250062012061409065843960780,1,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
LONG,66322250062012061409065843960780,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",HIGH
SHORT,66322250062012061409065843960780,2,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
MEDIUM,66322250062012061409065843960780,2,EPC-H6,Add local temperature control to the heating system.,LOW
MEDIUM,66322250062012061409065843960780,3,EPC-H8,Add weather compensation controls to heating system.,LOW
LONG,66322250062012061409065843960780,3,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,HIGH
SHORT,66322250062012061409065843960780,3,EPC-H2,Add time control to heating system.,LOW
MEDIUM,66322250062012061409065843960780,4,EPC-H5,Add local time control to heating system.,LOW
SHORT,66322250062012061409065843960780,4,EPC-H1,Consider replacing heating boiler plant with high efficiency type.,HIGH
LONG,66322250062012061409065843960780,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,66322250062012061409065843960780,5,EPC-R3,Consider installing solar water heating.,LOW
SHORT,66322250062012061409065843960780,5,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,66336112032012062512012219000792,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
MEDIUM,66336112032012062512012219000792,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,66336112032012062512012219000792,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
LONG,66336112032012062512012219000792,2,EPC-W1,Install more efficient water heater.,LOW
SHORT,66336112032012062512012219000792,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,66336112032012062512012219000792,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,66336112032012062512012219000792,4,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,66336112032012062512012219000792,5,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,66377240062012061512111378960770,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
MEDIUM,66377240062012061512111378960770,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,66377240062012061512111378960770,2,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,66377240062012061512111378960770,2,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,66377240062012061512111378960770,3,EPC-W1,Install more efficient water heater.,LOW
LONG,66377240062012061512111378960770,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,66377240062012061512111378960770,5,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,66381390022013072412303623090380,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,66381390022013072412303623090380,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,66381390022013072412303623090380,2,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,66381390022013072412303623090380,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,66381390022013072412303623090380,3,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,66388850022013040411505337270390,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,66388850022013040411505337270390,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
MEDIUM,66388850022013040411505337270390,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
LONG,66388850022013040411505337270390,2,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,66388850022013040411505337270390,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,66388850022013040411505337270390,3,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,66388850022013040411505337270390,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,66388850022013040411505337270390,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,66388850022013040411505337270390,5,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,67078442032012101615401223000290,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,67078442032012101615401223000290,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,67078442032012101615401223000290,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,67078442032012101615401223000290,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,67078442032012101615401223000290,2,EPC-H5,Add local time control to heating system.,LOW
SHORT,67078442032012101615401223000290,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,67078442032012101615401223000290,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,67078442032012101615401223000290,3,EPC-H2,Add time control to heating system.,LOW
LONG,67078442032012101615401223000290,3,EPC-R3,Consider installing solar water heating.,LOW
LONG,67078442032012101615401223000290,4,EPC-R4,Consider installing PV.,LOW
SHORT,67078442032012101615401223000290,4,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
SHORT,67078442032012101615401223000290,5,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,67078442032012101615401223000290,6,EPC-H6,Add local temperature control to the heating system.,MEDIUM
MEDIUM,58974120062012012915261494290930,1,EPC-C1,The default chiller efficiency is chosen. It is recommended that the chiller system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
LONG,58974120062012012915261494290930,1,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,LOW
SHORT,58974120062012012915261494290930,1,EPC-W1,Install more efficient water heater.,HIGH
SHORT,58974120062012012915261494290930,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,58974120062012012915261494290930,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,58974120062012012915261494290930,3,EPC-W2,Consider replacing HWS with point of use system.,MEDIUM
